50,49,49,49,49,49,50,49,49,49,49,49,49,49,49,49,49,49,49,50
50,44,44,44,44,44,50,42,42,42,42,19,19,19,19,19,19,19,19,50
50,44,44,44,44,44,50,19,19,19,19,19,19,19,19,19,19,19,19,50
50,44,44,44,44,44,50,19,19,19,19,19,24,24,24,24,24,42,42,50
50,44,44,44,44,44,50,19,19,19,19,24,42,42,42,42,42,42,42,50
50,49,49,49,49,52,49,52,19,19,19,42,42,52,52,52,52,52,52,50
50,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,50
50,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,50
50,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,50
50,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,50
50,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,50
50,24,42,42,42,52,52,52,52,52,52,52,52,52,52,19,10,19,19,50
50,19,19,19,42,42,42,52,52,52,52,52,52,52,52,52,52,52,52,50
50,19,19,19,19,42,42,52,52,52,52,52,52,52,52,52,52,52,52,50
50,19,19,19,19,24,42,52,52,52,52,52,52,52,52,52,52,52,52,50
49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
